"i"	"protID"	"spname"	"group"	"assembly"	"symM3"	"symM2"	"symM1"	"sym0"	"sym1"	"sym2"	"sym3"	"strandM3"	"strandM2"	"strandM1"	"strand0"	"strand1"	"strand2"	"strand3"	"accM3"	"accM2"	"accM1"	"acc0"	"acc1"	"acc2"	"acc3"	"nameM3"	"nameM2"	"nameM1"	"name0"	"name1"	"name2"	"name3"	"prot_feature_tables_all_fn"
"307"	"307"	"ALA60092.1"	"Nitrospra_moscoviensis_NspM-1"	"Nitrospirae"	"GCA_001273775.1"	"xerD"	""	""	"tolQ"	"exbD"	""	"tolB"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"ALA60093.1"	""	""	"ALA60092.1"	"ALA60091.1"	"ALA60090.1"	"ALA60089.1"	"Tyrosine recombinase XerD"	"tRNA-Val"	"tRNA-Asp"	"Protein TolQ"	"Biopolymer transport protein ExbD"	"hypothetical protein"	"Protein TolB"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"308"	"308"	"BAM06957.1"	"Leptosprillum_ferrooxidans_C2-3"	"Nitrospirae"	"GCA_000284315.1"	""	""	""	""	""	""	""	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"BAM06959.1"	"BAM06958.1"	""	"BAM06957.1"	"BAM06956.1"	"BAM06955.1"	"BAM06954.1"	"hypothetical protein"	"hypothetical protein"	"tRNA-Asp"	"putative MotA/TolQ/ExbB proton channel"	"biopolymer transport protein ExbD/TolR"	"putative TonB family protein"	"putative TolB protein"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"309"	"309"	"AUX20279.1"	"Sorangium_cellulosum_So_ceGT47"	"Delta-proteo"	"GCA_004135735.1"	""	""	""	""	"exbD"	""	""	"+"	"-"	"+"	"+"	"+"	"+"	"+"	"AUX20276.1"	"AUX20277.1"	"AUX20278.1"	"AUX20279.1"	"AUX20280.1"	"AUX20281.1"	"AUX20282.1"	"hypothetical protein"	"uncharacterized protein"	"ompA-family exported protein"	"transport protein, tolQ"	"biopolymer transporter ExbD"	"tonB-like protein"	"tolB protein"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"310"	"310"	"ADG93991.1"	"Arcobacter_nitrofigilis_DSM_7299"	"Epsilon-proteo"	"GCA_000092245.1"	""	""	""	NA	""	""	""	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"ADG93994.1"	"ADG93993.1"	"ADG93992.1"	"ADG93991.1"	"ADG93990.1"	"ADG93989.1"	"ADG93988.1"	"ATP synthase F1, gamma subunit"	"ATP synthase F1, beta subunit"	"ATP synthase F1, epsilon subunit"	"MotA/TolQ/ExbB proton channel"	"Biopolymer transport protein ExbD/TolR"	"conserved hypothetical protein"	"TolB domain protein"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"311"	"311"	"ADN08827.1"	"Sulfurimonas_autotrophica_DSM_16294"	"Epsilon-proteo"	"GCA_000147355.1"	""	""	""	NA	""	""	""	"+"	"+"	"+"	"+"	"+"	"+"	"+"	"ADN08824.1"	"ADN08825.1"	"ADN08826.1"	"ADN08827.1"	"ADN08828.1"	"ADN08829.1"	"ADN08830.1"	"ATP synthase F1 subcomplex gamma subunit"	"ATP synthase F1 subcomplex beta subunit"	"ATP synthase F1 subcomplex epsilon subunit"	"MotA/TolQ/ExbB proton channel"	"Cell division and transport-associated protein TolR"	"conserved hypothetical protein"	"WD40 domain protein beta Propeller"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"312"	"312"	"AKF24510.1"	"Sulfurovum_lithotrophicum_ATCC_BAA-797"	"Epsilon-proteo"	"GCA_000987835.1"	""	""	""	""	""	""	""	"+"	"+"	"+"	"+"	"+"	"+"	"-"	"AKF24507.1"	"AKF24508.1"	"AKF24509.1"	"AKF24510.1"	"AKF24511.1"	"AKF24512.1"	"AKF24513.1"	"ATP synthase F0F1 subunit gamma"	"ATP F0F1 synthase subunit beta"	"ATP synthase F0F1 subunit epsilon"	"biopolymer transporter"	"biopolymer transporter ExbD"	"hypothetical protein"	"hypothetical protein"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"313"	"313"	"ALF47162.1"	"Campylobacter_concisus_ATCC_33237"	"Epsilon-proteo"	"GCA_001298465.1"	"atpG"	"atpD"	"atpC"	"tolQ"	"tolR"	"tolA"	"tolB"	"+"	"+"	"+"	"+"	"+"	"+"	"+"	"ALF47159.1"	"ALF47160.1"	"ALF47161.1"	"ALF47162.1"	"ALF47163.1"	"ALF47164.1"	"ALF47165.1"	"ATP synthase, F1 complex, gamma subunit"	"ATP synthase, F1 complex, beta subunit"	"ATP synthase, F1 complex, epsilon subunit"	"Tol-Pal system subunit TolQ"	"Tol-Pal system subunit TolR"	"Tol-Pal system subunit TolA"	"Tol-Pal system translocation protein TolB"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"314"	"314"	"CAL34280.1"	"Campylobacter_jejuni_subsp_Jejuni_NCTC_11168"	"Epsilon-proteo"	"GCA_000009085.1"	"atpG"	"atpD"	"atpC"	"exbB3"	"exbD3"	""	"tolB"	"+"	"+"	"+"	"+"	"+"	"+"	"+"	"CAL34277.1"	"CAL34278.1"	"CAL34279.1"	"CAL34280.1"	"CAL34281.1"	"CAL34282.1"	"CAL34283.1"	"ATP synthase F1 sector gamma subunit"	"ATP synthase F1 sector beta subunit"	"ATP synthase F1 sector epsilon subunit"	"putative MotA/TolQ/ExbB proton channel family protein"	"putative exbD/tolR family transport protein"	"putative periplasmic protein"	"putative TolB precursor protein"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"315"	"315"	"AOO64467.1"	"Sulfurosprillum_haloresprans_DSM_13726"	"Epsilon-proteo"	"GCA_001723605.1"	""	""	""	""	""	""	""	"+"	"+"	"+"	"+"	"+"	"+"	"+"	"AOO64464.1"	"AOO64465.1"	"AOO64466.1"	"AOO64467.1"	"AOO64468.1"	"AOO64469.1"	"AOO64470.1"	"ATP synthase gamma chain"	"ATP synthase beta chain"	"ATP synthase epsilon chain"	"putative biopolymer transport protein ExbB-like"	"putative biopolymer transport protein ExbD-like"	"TonB-like protein"	"protein TolB"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"316"	"316"	"BAH38987.1"	"Gemmatimonas_aurantiaca_T-27"	"Gemmatimonadetes"	"GCA_000010305.1"	"ssb"	""	""	""	""	""	""	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"BAH38990.1"	"BAH38989.1"	"BAH38988.1"	"BAH38987.1"	"BAH38986.1"	"BAH38985.1"	"BAH38984.1"	"single-strand binding protein"	"hypothetical protein"	"nucleoside-diphosphate-sugar epimerase"	"putative biopolymer transport protein"	"putative biopolymer transport protein"	"hypothetical protein"	"hypothetical protein"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"317"	"317"	"QJR34845.1"	"Gemmatimonas_groenlandica_TET16"	"Gemmatimonadetes"	"GCA_013004105.1"	""	""	""	""	""	""	""	"+"	"+"	"+"	"+"	"+"	"+"	"+"	"QJR34842.1"	"QJR34843.1"	"QJR34844.1"	"QJR34845.1"	"QJR34846.1"	"QJR34847.1"	"QJR34848.1"	"single-stranded DNA-binding protein"	"LysM peptidoglycan-binding domain-containing protein"	"NAD-dependent epimerase/dehydratase family protein"	"hypothetical protein"	"biopolymer transporter ExbD"	"cell envelope integrity protein TolA"	"hypothetical protein"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"318"	"318"	"AMW06740.1"	"Gemmatimonas_phototrophica_AP64"	"Gemmatimonadetes"	"GCA_000695095.2"	""	""	""	""	""	""	""	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"AMW06741.1"	"AMW05086.1"	"AMW05085.1"	"AMW06740.1"	"AMW05084.1"	"AMW05083.1"	"AMW05082.1"	"hypothetical protein"	"hypothetical protein"	"UDP-glucose 4-epimerase"	"hypothetical protein"	"hypothetical protein"	"hypothetical protein"	"hypothetical protein"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"319"	"319"	"AFL88606.1"	"Terriglobus_roseus_DSM_18391"	"Acidobacteriota"	"GCA_000265425.1"	""	""	""	NA	""	""	""	"-"	"-"	"-"	"+"	"+"	"+"	"+"	"AFL88603.1"	"AFL88604.1"	"AFL88605.1"	"AFL88606.1"	"AFL88607.1"	"AFL88608.1"	"AFL88609.1"	"squalene-hopene cyclase"	"(E)-4-hydroxy-3-methyl-but-2-enyl pyrophosphate reductase"	"ATPase involved in DNA repair"	"biopolymer transport protein"	"biopolymer transport protein"	"TonB family protein"	"periplasmic component of the Tol biopolymer transport system"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"320"	"320"	"AFL88265.1"	"Terriglobus_roseus_DSM_18391"	"Acidobacteriota"	"GCA_000265425.1"	""	""	""	NA	""	""	""	"-"	"-"	"-"	"+"	"+"	"+"	"+"	"AFL88262.1"	"AFL88263.1"	"AFL88264.1"	"AFL88265.1"	"AFL88266.1"	"AFL88267.1"	"AFL88268.1"	"squalene-hopene cyclase"	"(E)-4-hydroxy-3-methyl-but-2-enyl pyrophosphate reductase"	"ATPase involved in DNA repair"	"biopolymer transport protein"	"biopolymer transport protein"	"TonB family protein"	"periplasmic component of the Tol biopolymer transport system"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"321"	"321"	"ACO32834.1"	"Acidobacterium_capsulatum_ATCC_51196"	"Acidobacteriota"	"GCA_000022565.1"	""	""	"recN"	""	""	""	""	"-"	"-"	"+"	"-"	"-"	"-"	"-"	"ACO31400.1"	"ACO32118.1"	"ACO33781.1"	"ACO32834.1"	"ACO31962.1"	"ACO33463.1"	"ACO33128.1"	"hypothetical protein"	"conserved hypothetical protein"	"DNA repair protein RecN"	"transporter, MotA/TolQ/ExbB proton channel family"	"transport energizing protein, ExbD/TolR family"	"TonB family protein"	"tolB protein, putative"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"322"	"322"	"QOY87643.1"	"Paludibaculum_fermentans_P105"	"Acidobacteriota"	"GCA_015277775.1"	""	""	"recN"	""	""	""	""	"+"	"+"	"+"	"-"	"-"	"-"	"-"	"QOY87646.1"	"QOY87645.1"	"QOY87644.1"	"QOY87643.1"	"QOY87642.1"	"QOY87641.1"	"QOY87640.1"	"hypothetical protein"	"WbuC family cupin fold metalloprotein"	"DNA repair protein RecN"	"MotA/TolQ/ExbB proton channel family protein"	"biopolymer transporter ExbD"	"energy transducer TonB"	"PD40 domain-containing protein"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"323"	"323"	"BCB95125.1"	"Dissulfurispra_thermophila_T55J"	"Nitrospirae"	"GCA_014701235.1"	"hisF"	""	"rfaE"	""	""	""	"tolB"	"-"	"+"	"+"	"-"	"-"	"-"	"-"	"BCB95128.1"	"BCB95127.1"	"BCB95126.1"	"BCB95125.1"	"BCB95124.1"	"BCB95123.1"	"BCB95122.1"	"imidazole glycerol phosphate synthase subunit HisF"	"fibronectin-binding protein"	"RfaE bifunctional protein, domain I"	"protein TolQ"	"protein TolR"	"hypothetical protein"	"protein TolB"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"324"	"324"	"ACI22061.1"	"Thermodesulfovibrio_yellowstonii_DSM_11347"	"Nitrospirae"	"GCA_000020985.1"	""	"purE"	""	""	""	""	""	"+"	"+"	"+"	"-"	"-"	"-"	"-"	"ACI21431.1"	"ACI20259.1"	"ACI20817.1"	"ACI22061.1"	"ACI21831.1"	"ACI20912.1"	"ACI20244.1"	"conserved hypothetical protein"	"phosphoribosylaminoimidazole carboxylase, catalytic subunit"	"peptidase, M48 family"	"TolQ protein"	"TolR protein"	"hypothetical protein"	"protein TolB, putative"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"325"	"325"	"CAL34744.1"	"Campylobacter_jejuni_subsp_Jejuni_NCTC_11168"	"Epsilon-proteo"	"GCA_000009085.1"	"nth"	"peb4-cbf2"	"fba"	""	""	""	""	"-"	"+"	"+"	"+"	"+"	"+"	"-"	"CAL34741.1"	"CAL34742.1"	"CAL34743.1"	"CAL34744.1"	"CAL34745.1"	"CAL34746.1"	"CAL34747.1"	"endonuclease III"	"major antigenic peptide PEB-cell binding factor"	"fructose-bisphosphate aldolase"	"putative membrane protein"	"putative OmpA family membrane protein"	"hypothetical protein Cj0600"	"putative sodium-dependent transmembrane transport protein"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"326"	"326"	"AOO65010.1"	"Sulfurosprillum_haloresprans_DSM_13726"	"Epsilon-proteo"	"GCA_001723605.1"	""	""	""	""	""	""	""	"+"	"+"	"+"	"-"	"-"	"+"	"-"	"AOO65013.1"	"AOO65012.1"	"AOO65011.1"	"AOO65010.1"	"AOO65009.1"	"AOO65008.1"	"AOO65007.1"	"putative acetyltransferase"	"putative metal-dependent hydrolase"	"CHAD domain-containing protein"	"membrane protein"	"putative outer membrane protein"	"periplasmic protein"	"GGDEF/EAL domain-containing signaling protein"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"327"	"327"	"ALF47932.1"	"Campylobacter_concisus_ATCC_33237"	"Epsilon-proteo"	"GCA_001298465.1"	"nth"	"peb4"	"fbaA"	""	""	"acd"	"hisD"	"+"	"-"	"-"	"-"	"-"	"-"	"-"	"ALF47935.1"	"ALF47934.1"	"ALF47933.1"	"ALF47932.1"	"ALF47931.1"	"ALF47930.1"	"ALF47929.1"	"endonuclease III"	"SurA-like chaperone / peptidyl-prolyl cis-trans isomerase"	"fructose-bisphosphate aldolase, class IIA"	"putative membrane protein"	"putative OmpA/MotB domain protein"	"1-aminocyclopropane-1-carboxylate deaminase"	"histidinal dehydrogenase / histidinol dehydrogenase"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"328"	"328"	"AKF24681.1"	"Sulfurovum_lithotrophicum_ATCC_BAA-797"	"Epsilon-proteo"	"GCA_000987835.1"	"aspS"	""	""	""	""	""	""	"-"	"-"	"+"	"+"	"+"	"-"	"-"	"AKF24678.1"	"AKF24679.1"	"AKF24680.1"	"AKF24681.1"	"AKF24682.1"	""	"AKF24683.1"	"aspartate--tRNA ligase"	"nicotinate phosphoribosyltransferase"	"hypothetical protein"	"hypothetical protein"	"hypothetical protein"	"hypothetical protein"	"molybdopterin oxidoreductase"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"329"	"329"	"EKT87417.1"	"Leptospra_santarosai_Shermani_LT_821_chrom1"	"Spirochaetes"	"GCA_000313175.2"	""	""	""	""	""	""	""	"-"	"-"	"-"	"+"	"+"	"-"	"-"	"EKT87420.1"	"EKT87419.1"	"EKT87418.1"	"EKT87417.1"	"EKT87416.1"	"EKT87415.1"	"EKT87413.1"	"peptidase"	"hypothetical protein"	"demethylmenaquinone methyltransferase"	"flagellar motor protein MotA"	"biopolymer transporter ExbD"	"pyrophosphatase"	"membrane protein"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"330"	"330"	"QNQ08565.1"	"spingomonas_alpina_DSM_22537"	"Alpha-proteo"	"GCA_014490665.1"	""	""	""	""	""	""	""	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"QNQ08568.1"	"QNQ08567.1"	"QNQ08566.1"	"QNQ08565.1"	"QNQ08564.1"	"QNQ08563.1"	"QNQ08562.1"	"sigma-70 family RNA polymerase sigma factor"	"FecR domain-containing protein"	"ShlB/FhaC/HecB family hemolysin secretion/activation protein"	"DUF2341 domain-containing protein"	"biopolymer transporter ExbD"	"hypothetical protein"	"putative porin"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"331"	"331"	"AAG04082.1"	"Pseudomonas_aeruginosa_PAO1"	"Gamma-proteo"	"GCA_000006765.1"	""	""	""	"exbB2"	"exbD2"	""	""	"+"	"+"	"+"	"+"	"+"	"+"	"+"	"AAG04079.1"	"AAG04080.1"	"AAG04081.1"	"AAG04082.1"	"AAG04083.1"	"AAG04084.1"	"AAG04085.1"	"hypothetical protein"	"hypothetical protein"	"hypothetical protein"	"transport protein ExbB2"	"transport protein ExbD"	"hypothetical protein"	"hypothetical protein"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"332"	"332"	"QJE95399.1"	"Luteolibacter_luteus_G-1-1-1"	"Verrucomicrobia"	"GCA_012913485.1"	""	""	""	""	""	""	""	"+"	"+"	"+"	"+"	"+"	"+"	"+"	"QJE95396.1"	"QJE95397.1"	"QJE95398.1"	"QJE95399.1"	"QJE95400.1"	"QJE95401.1"	"QJE95402.1"	"outer membrane beta-barrel protein"	"hypothetical protein"	"DUF3450 domain-containing protein"	"hypothetical protein"	"biopolymer transporter ExbD"	"energy transducer TonB"	"tetratricopeptide repeat protein"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"333"	"333"	"QJE97904.1"	"Luteolibacter_luteus_G-1-1-1"	"Verrucomicrobia"	"GCA_012913485.1"	""	""	""	""	""	""	""	"+"	"+"	"+"	"+"	"+"	"+"	"+"	"QJE97902.1"	"QJE97903.1"	"QJE99325.1"	"QJE97904.1"	"QJE99326.1"	"QJE97905.1"	"QJE97906.1"	"hypothetical protein"	"hypothetical protein"	"ShlB/FhaC/HecB family hemolysin secretion/activation protein"	"DUF2341 domain-containing protein"	"biopolymer transporter ExbD"	"biopolymer transporter ExbD"	"TonB C-terminal domain-containing protein"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"334"	"334"	"AAC68198.1"	"Chlamydia_trachomatis_D-UW-3-CX"	"Chlamydiae"	"GCA_000008725.1"	""	"ycfH"	"dsbD"	"exbB"	"exbD"	""	"tolB"	"-"	"-"	"-"	"+"	"+"	"+"	"+"	"AAC68204.1"	"AAC68196.1"	"AAC68197.1"	"AAC68198.1"	"AAC68199.1"	"AAC68200.1"	"AAC68201.1"	"hypothetical protein-possible frameshift with CT593"	"PHP superfamily hydrolase"	"Thio:disulfide Interchange Protein"	"polysaccharide transporter"	"Biopolymer Transport Protein"	"hypothetical protein"	"component of a macromolecule transport system"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"335"	"335"	"AVM88605.1"	"Chlamydia_muridarum_Nigg_isolate_CM021"	"Chlamydiae"	"GCA_002997735.1"	""	""	""	""	""	""	"tolB"	"-"	"-"	"-"	"+"	"+"	"+"	"+"	"AVM88602.1"	"AVM88603.1"	"AVM88604.1"	"AVM88605.1"	"AVM88606.1"	""	"AVM88607.1"	"succinate dehydrogenase"	"YchF/TatD family DNA exonuclease"	"thiol:disulfide interchange protein"	"MotA/TolQ/ExbB proton channel family protein"	"biopolymer transporter ExbD"	"histone"	"protein TolB"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"336"	"336"	"AAP98742.1"	"Chlamydia_pneumoniae_TW-183"	"Chlamydiae"	"GCA_000007205.1"	""	"mttC"	"dsbD"	"exbB"	"exbD"	""	"tolB"	"+"	"+"	"+"	"-"	"-"	"-"	"-"	"AAP98745.1"	"AAP98744.1"	"AAP98743.1"	"AAP98742.1"	"AAP98741.1"	"AAP98740.1"	"AAP98739.1"	"succinate dehydrogenase subunit C"	"MttC"	"thiol:disulfide interchange protein"	"ExbB"	"ExbD"	"hypothetical protein"	"TolB precursor"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"337"	"337"	"AGW38400.1"	"Chlamydia_pecorum_PV3056-3"	"Chlamydiae"	"GCA_000470765.1"	"sdhC"	""	""	""	""	""	"tolB"	"-"	"-"	"-"	"+"	"+"	"+"	"+"	"AGW38397.1"	"AGW38398.1"	"AGW38399.1"	"AGW38400.1"	"AGW38401.1"	"AGW38402.1"	"AGW38403.1"	"succinate dehydrogenase subunit"	"deoxyribonuclease, TatD family"	"hypothetical protein"	"putative transport protein"	"biopolymer transport protein"	"hypothetical protein"	"translocation protein"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"338"	"338"	"CCB87689.1"	"Parachlamydia_acanthamoebae_UV-7"	"Chlamydiae"	"GCA_000253035.1"	""	"yabD"	""	""	""	""	"tolB"	"+"	"-"	"-"	"+"	"+"	"+"	"+"	"CCB87686.1"	"CCB87687.1"	"CCB87688.1"	"CCB87689.1"	"CCB87690.1"	"CCB87691.1"	"CCB87692.1"	"putative uncharacterized protein"	"uncharacterized deoxyribonuclease yabD"	"putative uncharacterized protein"	"putative uncharacterized protein"	"putative uncharacterized protein"	"putative uncharacterized protein"	"protein tolB"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"339"	"339"	"ACX73814.1"	"Fibrobacter_succinogenes_subsp_Succinogenes_S85"	"Fibrobacteres"	"GCA_000024665.1"	""	""	""	""	""	""	""	"+"	"-"	"+"	"-"	"-"	"-"	"-"	"ACX73817.1"	"ACX73816.1"	"ACX73815.1"	"ACX73814.1"	"ACX73813.1"	"ACX73812.1"	"ACX73811.1"	"Deoxyribonuclease I"	"FolC bifunctional protein"	"hypothetical protein"	"MotA/TolQ/ExbB proton channel"	"Biopolymer transport protein ExbD/TolR"	"hypothetical protein"	"TolB domain protein"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"340"	"340"	"AVM45096.1"	"Victivallales_Victivallales_CCUG_44730"	"Lentisphaerae"	"GCA_002998355.1"	""	""	""	""	""	""	""	"-"	"-"	"-"	"+"	"+"	"+"	"-"	"AVM45093.1"	"AVM45094.1"	"AVM45095.1"	"AVM45096.1"	"AVM45097.1"	"AVM45098.1"	"AVM45099.1"	"hypothetical protein"	"sugar kinase"	"hypothetical protein"	"hypothetical protein"	"protein TolR"	"hypothetical protein"	"hypothetical protein"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"341"	"341"	"DGBBEKCF_00127"	"Verrucomicrobium_sp_I3b_bin-317"	"Verrucomicrobia"	"PRJEB38681_Verrucomicrobium_sp_CAISZB01"	""	""	"exbD"	"tolQ_2"	""	""	""	"+"	"+"	"+"	"+"	"+"	"+"	"+"	"DGBBEKCF_00124"	"DGBBEKCF_00125"	"DGBBEKCF_00126"	"DGBBEKCF_00127"	"DGBBEKCF_00128"	"DGBBEKCF_00129"	"DGBBEKCF_00130"	"hypothetical protein"	"hypothetical protein"	"Biopolymer transport protein ExbD"	"Tol-Pal system protein TolQ"	"hypothetical protein"	"hypothetical protein"	"hypothetical protein"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"342"	"342"	"QSR84055.1"	"Methylacidimicrobium_sp_B4_NA"	"Verrucomicrobia"	"GCA_017310545.1"	""	""	""	""	""	""	""	"-"	"-"	"-"	"+"	"+"	"+"	"+"	"QSR84052.1"	"QSR84053.1"	"QSR84054.1"	"QSR84055.1"	"QSR84056.1"	"QSR84057.1"	"QSR84058.1"	"NUDIX domain-containing protein"	"CHASE2 domain-containing protein"	"J domain-containing protein"	"MotA/TolQ/ExbB proton channel family protein"	"biopolymer transporter ExbD"	"TonB C-terminal domain-containing protein"	"PD40 domain-containing protein"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"343"	"343"	"ALJ56928.1"	"Xiphinematobacter_sp_Idaho_Grape_NA"	"Verrucomicrobia"	"GCA_001318295.1"	"infC"	"thrS"	""	"exbB"	"exbD"	""	""	"+"	"+"	"+"	"-"	"-"	"+"	"-"	"ALJ56931.1"	"ALJ56930.1"	"ALJ56929.1"	"ALJ56928.1"	"ALJ56927.1"	"ALJ56926.1"	""	"Translation initiation factor IF-3"	"Threonine--tRNA ligase"	"hypothetical protein"	"Biopolymer transport protein ExbB"	"Biopolymer transport protein ExbD"	"Putative NAD(P)H nitroreductase"	"tRNA-His"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"344"	"344"	"ALA61164.1"	"Nitrospra_moscoviensis_NspM-1"	"Nitrospirae"	"GCA_001273775.1"	""	""	""	""	""	""	""	"+"	"-"	"-"	"-"	"-"	"-"	"-"	"ALA61167.1"	"ALA61166.1"	"ALA61165.1"	"ALA61164.1"	"ALA61163.1"	"ALA61162.1"	"ALA61161.1"	"exported protein of unknown function"	"conserved exported protein of unknown function"	"hypothetical protein"	"MotA/TolQ/ExbB proton channel"	"hypothetical protein"	"hypothetical protein"	"hypothetical protein"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"345"	"345"	"ATC65746.1"	"Nibricoccus_aquaticus_HZ-65"	"Verrucomicrobia"	"GCA_002310495.1"	""	""	""	""	""	""	""	"+"	"+"	"+"	"-"	"-"	"-"	"+"	"ATC65749.1"	"ATC65748.1"	"ATC65747.1"	"ATC65746.1"	"ATC65745.1"	"ATC65744.1"	""	"DNA polymerase III subunit gamma/tau"	"dTMP kinase"	"sugar kinase"	"flagellar motor protein MotA"	"biopolymer transporter ExbD"	"hypothetical protein"	"tRNA-Ala"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"346"	"346"	"ACB76604.1"	"Opitutus_terrae_PB90-1"	"Verrucomicrobia"	"GCA_000019965.1"	""	""	""	""	""	""	""	"+"	"+"	"+"	"-"	"-"	"-"	"-"	"ACB76607.1"	"ACB76606.1"	"ACB76605.1"	"ACB76604.1"	"ACB76603.1"	"ACB76602.1"	""	"DNA polymerase III gamma/tau subunits-like protein"	"dTMP kinase"	"hypothetical protein"	"MotA/TolQ/ExbB proton channel"	"Biopolymer transport protein ExbD/TolR"	"protein TolA"	"tRNA-Ala"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"347"	"347"	"AWI09757.1"	"Ereboglobus_luteus_Ho45"	"Verrucomicrobia"	"GCA_003096195.1"	""	"nusB"	""	""	""	"der"	""	"+"	"+"	"+"	"-"	"-"	"-"	"-"	"AWI09760.1"	"AWI09759.1"	"AWI09758.1"	"AWI09757.1"	"AWI09756.1"	"AWI09755.1"	"AWI10655.1"	"signal recognition particle-docking protein FtsY"	"transcription antitermination factor NusB"	"6,7-dimethyl-8-ribityllumazine synthase"	"flagellar motor protein MotA"	"biopolymer transporter ExbD"	"ribosome biogenesis GTPase Der"	"methionyl-tRNA formyltransferase"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"348"	"348"	"AKJ63346.1"	"Kiritimatiella_glycovorans_L21-Fru-AB"	"Kiritimatiellaeota"	"GCA_001017655.1"	"rsmE_1"	""	""	"exbB_1"	"exbD_1"	""	"nusA"	"+"	"+"	"-"	"+"	"+"	"+"	"+"	"AKJ63343.1"	"AKJ63344.1"	"AKJ63345.1"	"AKJ63346.1"	"AKJ63347.1"	"AKJ63348.1"	"AKJ63349.1"	"Ribosomal RNA small subunit methyltransferase E"	"hypothetical protein"	"hypothetical protein"	"Biopolymer transport protein ExbB"	"Biopolymer transport protein ExbD"	"transport protein TonB"	"putative transcription termination/antitermination protein NusA"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"349"	"349"	"QQS05379.1"	"Fibrobacter_spFred_18-Q3-R57-64_MAXAC109_cln"	"Fibrobacteres"	"GCA_016699655.1"	"dnaJ"	""	""	""	""	""	""	"+"	"+"	"-"	"+"	"+"	"+"	"+"	"QQS05376.1"	"QQS05377.1"	"QQS05378.1"	"QQS05379.1"	"QQS05380.1"	"QQS05381.1"	"QQS05382.1"	"molecular chaperone DnaJ"	"sigma-54-dependent Fis family transcriptional regulator"	"sugar-binding protein"	"MotA/TolQ/ExbB proton channel family protein"	"biopolymer transporter ExbD"	"TonB family protein"	"PD40 domain-containing protein"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
