	i	protID	spname	symM3	symM2	symM1	sym0	sym1	sym2	sym3	strandM3	strandM2	strandM1	strand0	strand1	strand2	strand3	accM3	accM2	accM1	acc0	acc1	acc2	acc3	nameM3	nameM2	nameM1	name0	name1	name2	name3	genome_dir	gene_order_table_fn
246	328	ABC78648.1	Syntrophus aciditrophicus SB	NA	NA	NA	NA	NA	NA	NA	-	-	-	-	-	-	-	ABC78651.1	ABC78650.1	ABC78649.1	ABC78648.1	ABC78647.1	ABC78646.1	ABC78645.1	iron(III) dicitrate-binding protein	iron(III) dicitrate transport system permease protein	iron(III) dicitrate transport ATP-binding protein	tolQ protein	tolR protein	iron(III) dicitrate-biding protein	methyltransferase	GCA_000013405.1_ASM1340v1	genomes/GCA_000013405.1_ASM1340v1/GCA_000013405.1_ASM1340v1_feature_table.txt
247	329	BAC90343.1	Gloeobacter violaceus PCC 7421	glr2399	gll2400	psaM	glr2402	glr2403	glr2404	recF	+	-	-	+	+	+	-	BAC90340.1	BAC90341.1	BAC90342.1	BAC90343.1	BAC90344.1	BAC90345.1	BAC90346.1			photosystem I subunit XII	MotA/TolQ/ExbB family proton channel protein			DNA repair and genetic recombination protein	GCA_000011385.1_ASM1138v1	genomes/GCA_000011385.1_ASM1138v1/GCA_000011385.1_ASM1138v1_feature_table.txt
248	331	QZZ23337.1	Leptothermofonsia sichuanensis PKUAC-SCTE412								+	+	-	+	+	+	+	QZZ21397.1	QZZ21398.1	QZZ21399.1	QZZ23337.1	QZZ21400.1	QZZ21401.1	QZZ21402.1	BrnT family toxin	CopG family transcriptional regulator	TonB-dependent siderophore receptor	MotA/TolQ/ExbB proton channel family protein	biopolymer transporter ExbD	energy transducer TonB	iron ABC transporter permease	GCA_019891175.1_ASM1989117v1	genomes/GCA_019891175.1_ASM1989117v1/GCA_019891175.1_ASM1989117v1_feature_table.txt
249	332	QIZ70555.1	Oxynema aestuarii AP17								+	+	+	-	-	+	+		QIZ70557.1	QIZ70556.1	QIZ70555.1	QIZ70554.1	QIZ73659.1	QIZ70553.1	hypothetical protein	hypothetical protein	TonB family protein	MotA/TolQ/ExbB proton channel family protein	biopolymer transporter ExbD	iron ABC transporter permease	iron-siderophore ABC transporter substrate-binding protein	GCA_012295525.1_ASM1229552v1	genomes/GCA_012295525.1_ASM1229552v1/GCA_012295525.1_ASM1229552v1_feature_table.txt
250	333	UNU17462.1	Microcoleus vaginatus PCC 9802						hemL		-	-	-	+	+	-	+	UNU17460.1	UNU22106.1	UNU17461.1	UNU17462.1	UNU17463.1	UNU17464.1	UNU17465.1	acylase	hypothetical protein	TonB family protein	MotA/TolQ/ExbB proton channel family protein	biopolymer transporter ExbD	"glutamate-1-semialdehyde-2,1-aminomutase"	bifunctional phosphoribosyl-AMP cyclohydrolase/phosphoribosyl-ATP diphosphatase HisIE	GCA_022701275.1_ASM2270127v1	genomes/GCA_022701275.1_ASM2270127v1/GCA_022701275.1_ASM2270127v1_feature_table.txt
251	334	QZZ22141.1	Leptothermofonsia sichuanensis PKUAC-SCTE412								+	-	+	+	+	-	+	QZZ22139.1	QZZ22140.1	QZZ23422.1	QZZ22141.1	QZZ22142.1	QZZ22143.1	QZZ22144.1	phytoene/squalene synthase family protein	DUF4347 domain-containing protein	SulP family inorganic anion transporter	MotA/TolQ/ExbB proton channel family protein	biopolymer transporter ExbD	SH3 domain-containing protein	FAD-dependent oxidoreductase	GCA_019891175.1_ASM1989117v1	genomes/GCA_019891175.1_ASM1989117v1/GCA_019891175.1_ASM1989117v1_feature_table.txt
252	335	QZZ21680.1	Leptothermofonsia sichuanensis PKUAC-SCTE412								+	+	-	-	-	-	+	QZZ21683.1	QZZ21682.1	QZZ21681.1	QZZ21680.1	QZZ21679.1	QZZ21678.1	QZZ21677.1	alpha/beta hydrolase	hypothetical protein	DUF4333 domain-containing protein	MotA/TolQ/ExbB proton channel family protein	biopolymer transporter ExbD	biopolymer transporter ExbD	hypothetical protein	GCA_019891175.1_ASM1989117v1	genomes/GCA_019891175.1_ASM1989117v1/GCA_019891175.1_ASM1989117v1_feature_table.txt
253	336	UNU18280.1	Microcoleus vaginatus PCC 9802	dnaJ		rsgA					+	+	+	+	+	-	+	UNU18277.1	UNU18278.1	UNU18279.1	UNU18280.1	UNU18281.1	UNU18282.1	UNU18283.1	molecular chaperone DnaJ	sulfurtransferase TusA family protein	ribosome small subunit-dependent GTPase A	MotA/TolQ/ExbB proton channel family protein	biopolymer transporter ExbD	hypothetical protein	NblA-related protein	GCA_022701275.1_ASM2270127v1	genomes/GCA_022701275.1_ASM2270127v1/GCA_022701275.1_ASM2270127v1_feature_table.txt
254	337	QZZ19520.1	Leptothermofonsia sichuanensis PKUAC-SCTE412								+	-	-	-	-	+	-	QZZ23671.1	QZZ19522.1	QZZ19521.1	QZZ19520.1	QZZ19519.1	QZZ19518.1	QZZ23670.1	hypothetical protein	hypothetical protein	creatininase family protein	MotA/TolQ/ExbB proton channel family protein	biopolymer transporter ExbD	ribulose-phosphate 3-epimerase	S8 family serine peptidase	GCA_019891175.1_ASM1989117v1	genomes/GCA_019891175.1_ASM1989117v1/GCA_019891175.1_ASM1989117v1_feature_table.txt
255	338	QIZ71789.1	Oxynema aestuarii AP17								+	+	-	-	-	-	-	QIZ71791.1	QIZ71790.1		QIZ71789.1	QIZ71788.1	QIZ71787.1	QIZ73765.1	hypothetical protein	DUF4359 domain-containing protein	tRNA-His	MotA/TolQ/ExbB proton channel family protein	biopolymer transporter ExbD	class I SAM-dependent methyltransferase	prepilin-type N-terminal cleavage/methylation domain-containing protein	GCA_012295525.1_ASM1229552v1	genomes/GCA_012295525.1_ASM1229552v1/GCA_012295525.1_ASM1229552v1_feature_table.txt
256	339	QJE97567.1	Luteolibacter luteus								-	+	-	-	-	-	-	QJE97570.1	QJE97569.1	QJE97568.1	QJE97567.1	QJE97566.1	QJE97565.1	QJE97564.1	choice-of-anchor D domain-containing protein	hypothetical protein	energy transducer TonB	MotA/TolQ/ExbB proton channel family protein	biopolymer transporter ExbD	hypothetical protein	tetratricopeptide repeat protein	GCA_012913485.1_ASM1291348v1	genomes/GCA_012913485.1_ASM1291348v1/GCA_012913485.1_ASM1291348v1_feature_table.txt
257	340	QSR85862.1	Methylacidimicrobium sp. B4	allB							-	-	-	-	-	-	+	QSR84345.1	QSR84344.1	QSR84343.1	QSR85862.1	QSR84342.1	QSR84341.1	QSR85861.1	allantoinase AllB	biopolymer transporter ExbD	TonB family protein	MotA/TolQ/ExbB proton channel family protein	hypothetical protein	MFS transporter	class I SAM-dependent methyltransferase	GCA_017310545.1_ASM1731054v1	genomes/GCA_017310545.1_ASM1731054v1/GCA_017310545.1_ASM1731054v1_feature_table.txt
258	341	QSR84237.1	Methylacidimicrobium sp. B4							trpE	+	+	-	+	+	+	+	QSR84234.1	QSR84235.1	QSR84236.1	QSR84237.1		QSR84238.1	QSR84239.1	class I SAM-dependent methyltransferase	glycosyltransferase family 4 protein	HAD family phosphatase	MotA/TolQ/ExbB proton channel family protein	biopolymer transporter ExbD	energy transducer TonB	anthranilate synthase component I	GCA_017310545.1_ASM1731054v1	genomes/GCA_017310545.1_ASM1731054v1/GCA_017310545.1_ASM1731054v1_feature_table.txt
259	342	QSR83870.1	Methylacidimicrobium sp. B4								-	-	-	-	-	+	+	QSR83873.1	QSR83872.1	QSR83871.1	QSR83870.1	QSR83869.1	QSR83868.1	QSR83867.1	DUF883 family protein	phage holin family protein	hypothetical protein	MotA/TolQ/ExbB proton channel family protein	biopolymer transporter ExbD	hypothetical protein	efflux RND transporter permease subunit	GCA_017310545.1_ASM1731054v1	genomes/GCA_017310545.1_ASM1731054v1/GCA_017310545.1_ASM1731054v1_feature_table.txt
260	343	AWI08882.1	Ereboglobus luteus								+	+	+	+	+	+	+				AWI08882.1	AWI08883.1	AWI08884.1	AWI08885.1	tRNA-Lys	tRNA-Thr	tRNA-Gln	flagellar motor protein MotA	biopolymer transporter ExbD	hypothetical protein	hypothetical protein	GCA_003096195.1_ASM309619v1	genomes/GCA_003096195.1_ASM309619v1/GCA_003096195.1_ASM309619v1_feature_table.txt
261	344	ATC64798.1	Nibricoccus aquaticus								+	-	+	-	-	-	-	ATC66125.1	ATC64800.1	ATC64799.1	ATC64798.1	ATC64797.1	ATC64796.1	ATC64795.1	LysR family transcriptional regulator	nitrate transporter	hypothetical protein	flagellar motor protein MotA	biopolymer transporter ExbD	biopolymer transporter ExbD	energy transducer TonB	GCA_002310495.1_ASM231049v1	genomes/GCA_002310495.1_ASM231049v1/GCA_002310495.1_ASM231049v1_feature_table.txt
262	345	ATC62712.1	Nibricoccus aquaticus								+	+	+	+	+	+	+				ATC62712.1	ATC62713.1	ATC62714.1	ATC62715.1	tRNA-Lys	tRNA-Thr	tRNA-Gln	flagellar motor protein MotA	biopolymer transporter ExbD	biopolymer transporter ExbD	energy transducer TonB	GCA_002310495.1_ASM231049v1	genomes/GCA_002310495.1_ASM231049v1/GCA_002310495.1_ASM231049v1_feature_table.txt
263	346	ACB75629.1	Opitutus terrae PB90-1								-	-	-	-	-	-	-				ACB75629.1	ACB75628.1	ACB75627.1	ACB75626.1	tRNA-Lys	tRNA-Thr	tRNA-Gln	MotA/TolQ/ExbB proton channel	Biopolymer transport protein ExbD/TolR	Biopolymer transport protein ExbD/TolR	TonB family protein	GCA_000019965.1_ASM1996v1	genomes/GCA_000019965.1_ASM1996v1/GCA_000019965.1_ASM1996v1_feature_table.txt
264	347	EKT88184.1	Leptospira santarosai serovar Shermani str. LT 821								-	-	+	-	-	-	-	EKT88186.1	EKT88185.1	AIT10837.1	EKT88184.1	EKT88183.1	EKT88182.1	EKT88181.1	hypothetical protein	TonB-denpendent receptor	hypothetical protein	biopolymer transporter	biopolymer transporter ExbD	biopolymer transporter ExbD	cell envelope biogenesis protein TonB	GCA_000313175.2_ASM31317v2	genomes/GCA_000313175.2_ASM31317v2/GCA_000313175.2_ASM31317v2_feature_table.txt
265	348	BCB95942.1	Dissulfurispira thermophila								+	+	-	+	+	+	+	BCB95939.1	BCB95940.1	BCB95941.1	BCB95942.1	BCB95943.1	BCB95944.1	BCB95945.1	hypothetical protein	TonB domain protein	hypothetical protein	biopolymer transporter ExbB	hypothetical protein	TonB-dependent receptor	ABC transporter substrate-binding protein	GCA_014701235.1_ASM1470123v1	genomes/GCA_014701235.1_ASM1470123v1/GCA_014701235.1_ASM1470123v1_feature_table.txt
266	351	BBM36826.1	Pseudoleptotrichia goodfellowii								+	-	+	-	-	-	-	BBM36829.1	BBM36828.1	BBM36827.1	BBM36826.1	BBM36825.1	BBM36824.1	BBM36823.1	methylated-DNA--protein-cysteine methyltransferase	phosphoglyceromutase	hemolysin III family channel protein	MotA/TolQ/ExbB proton channel	"transport energizing protein, ExbD/TolR family"	outer membrane insertion signal domain protein	"ABC-type cobalamin/Fe3+-siderophores transportsystems, permease component"	GCA_007990505.1_ASM799050v1	genomes/GCA_007990505.1_ASM799050v1/GCA_007990505.1_ASM799050v1_feature_table.txt
267	353	QQS88170.1	Fusobacterium canifelinum								+	+	+	+	+	+	+	QQS88167.1	QQS88168.1	QQS88169.1	QQS88170.1	QQS88171.1	QQS88172.1	QQS88173.1	DUF116 domain-containing protein	tetratricopeptide repeat protein	hypothetical protein	MotA/TolQ/ExbB proton channel family protein	biopolymer transporter ExbD	energy transducer TonB	sigma-54-dependent Fis family transcriptional regulator	GCA_016724785.1_ASM1672478v1	genomes/GCA_016724785.1_ASM1672478v1/GCA_016724785.1_ASM1672478v1_feature_table.txt
268	354	AVQ28424.1	Fusobacterium ulcerans								+	+	+	+	+	+	+	AVQ28421.1	AVQ28422.1	AVQ28423.1	AVQ28424.1	AVQ28425.1	AVQ28426.1	AVQ28427.1	DUF116 domain-containing protein	tetratricopeptide repeat protein	hypothetical protein	MotA/TolQ/ExbB proton channel family protein	biopolymer transporter ExbD	energy transducer TonB	sigma-54-dependent Fis family transcriptional regulator	GCA_003019675.1_ASM301967v1	genomes/GCA_003019675.1_ASM301967v1/GCA_003019675.1_ASM301967v1_feature_table.txt
269	355	AVQ29523.1	Fusobacterium ulcerans								-	-	-	-	-	-	-	AVQ29526.1	AVQ29525.1	AVQ29524.1	AVQ29523.1	AVQ29522.1	AVQ29521.1	AVQ29520.1	iron ABC transporter	iron ABC transporter permease	ABC transporter ATP-binding protein	MotA/TolQ/ExbB proton channel family protein	biopolymer transporter ExbD	energy transducer TonB	hypothetical protein	GCA_003019675.1_ASM301967v1	genomes/GCA_003019675.1_ASM301967v1/GCA_003019675.1_ASM301967v1_feature_table.txt
270	356	QQS88496.1	Fusobacterium canifelinum		rnpB						+	+	-	+	+	+	-	QQS88494.1		QQS88495.1	QQS88496.1	QQS88497.1	QQS88498.1	QQS88499.1	hypothetical protein	RNase P RNA component class A	peptide-binding protein	MotA/TolQ/ExbB proton channel family protein	biopolymer transporter ExbD	energy transducer TonB	DUF1858 domain-containing protein	GCA_016724785.1_ASM1672478v1	genomes/GCA_016724785.1_ASM1672478v1/GCA_016724785.1_ASM1672478v1_feature_table.txt
271	357	AVQ29260.1	Fusobacterium ulcerans								-	-	+	+	+	+	-	AVQ29257.1	AVQ29258.1	AVQ29259.1	AVQ29260.1	AVQ29261.1	AVQ29262.1	AVQ29263.1	TonB-dependent receptor	radical SAM protein	flavodoxin	MotA/TolQ/ExbB proton channel family protein	biopolymer transporter ExbD	energy transducer TonB	PTS glucose transporter subunit IIBC	GCA_003019675.1_ASM301967v1	genomes/GCA_003019675.1_ASM301967v1/GCA_003019675.1_ASM301967v1_feature_table.txt
272	358	CCB87487.1	Parachlamydia acanthamoebae UV-7		hctA						+	+	-	-	-	-	-	CCB87490.1	CCB87489.1	CCB87488.1	CCB87487.1	CCB87486.1	CCB87485.1	CCB87484.1	putative uncharacterized protein	histone-like developmental protein	putative uncharacterized protein	putative uncharacterized protein	putative uncharacterized protein	putative uncharacterized protein	putative uncharacterized protein	GCA_000253035.1_ASM25303v1	genomes/GCA_000253035.1_ASM25303v1/GCA_000253035.1_ASM25303v1_feature_table.txt
273	360	AKJ65567.1	Kiritimatiella glycovorans	rsmD	uvrA		exbB_8				+	-	-	-	-	-	-	AKJ65570.1	AKJ65569.1	AKJ65568.1	AKJ65567.1	AKJ65566.1	AKJ65565.1	AKJ65564.1	Ribosomal RNA small subunit methyltransferase D	Excinuclease ABC subunit A	Outer membrane assembly lipoprotein	Biopolymer transport protein ExbB	protein TolR	hypothetical protein	hypothetical protein	GCA_001017655.1_ASM101765v1	genomes/GCA_001017655.1_ASM101765v1/GCA_001017655.1_ASM101765v1_feature_table.txt
274	363	ADB18835.1	Pirellula staleyi DSM 6068								+	+	+	+	+	+	-	ADB18832.1	ADB18833.1	ADB18834.1	ADB18835.1	ADB18836.1	ADB18837.1		von Willebrand factor type A	hypothetical protein	hypothetical protein	MotA/TolQ/ExbB proton channel	Biopolymer transport protein ExbD/TolR	Biopolymer transport protein ExbD/TolR		GCA_000025185.1_ASM2518v1	genomes/GCA_000025185.1_ASM2518v1/GCA_000025185.1_ASM2518v1_feature_table.txt
275	365	CAD73493.1	Rhodopirellula baltica SH 1				tolQ				+	-	-	+	+	+	-	CAD73490.1	CAD73491.1	CAD73492.1	CAD73493.1	CAD73494.1	CAD73495.1	CAD73496.1	hypothetical protein	hypothetical protein	hypothetical protein	probable tolQ protein	hypothetical protein-transmembrane prediction	hypothetical protein-transmembrane prediction	hypothetical protein	GCA_000196115.1_ASM19611v1	genomes/GCA_000196115.1_ASM19611v1/GCA_000196115.1_ASM19611v1_feature_table.txt
276	366	AOO66288.1	Sulfurospirillum halorespirans DSM 13726								-	-	-	-	-	-	-	AOO66291.1	AOO66290.1	AOO66289.1	AOO66288.1	AOO66287.1	AOO66286.1	AOO66285.1	MFS transporter	MntP Mn2+ exporter family protein	cobalt-zinc-cadmium resistance protein CzcD	"ferric siderophore transport system, biopolymer transport protein ExbB"	biopolymer transport protein ExbD/TolR	"ferric siderophore transport system, periplasmic binding protein TonB"	TonB-dependent receptor	GCA_001723605.1_ASM172360v1	genomes/GCA_001723605.1_ASM172360v1/GCA_001723605.1_ASM172360v1_feature_table.txt
277	367	AAC07752.1	Aquifex aeolicus VF5	htpX	pgmA		tolQ				-	-	-	-	-	-	+	AAC07747.1	AAC07750.1	AAC07758.1	AAC07752.1	AAC07763.1	AAC07762.1	AAC07761.1	heat shock protein X	phosphoglycerate mutase	putative protein	TolQ-like protein	hypothetical protein	hypothetical protein	hypothetical protein	GCA_000008625.1_ASM862v1	genomes/GCA_000008625.1_ASM862v1/GCA_000008625.1_ASM862v1_feature_table.txt
278	368	ADC89509.1	Thermocrinis albus DSM 14484								-	-	-	-	-	-	-	ADC89512.1	ADC89511.1	ADC89510.1	ADC89509.1	ADC89508.1			aminotransferase class V	Phosphoglycerate mutase	Tetratricopeptide TPR_2 repeat protein	MotA/TolQ/ExbB proton channel	Biopolymer transport protein ExbD/TolR			GCA_000025605.1_ASM2560v1	genomes/GCA_000025605.1_ASM2560v1/GCA_000025605.1_ASM2560v1_feature_table.txt
279	370	ADO44512.1	Hydrogenobacter thermophilus TK-6	NA	NA	NA	NA	NA	NA	NA	-	-	-	-	-	-	+	ADO44515.1	ADO44514.1	ADO44513.1	ADO44512.1	ADO44511.1	ADO44510.1	ADO44509.1	aminotransferase class V	Phosphoglycerate mutase	TPR repeat-containing protein	MotA/TolQ/ExbB proton channel	Biopolymer transport protein ExbD/TolR	protein of unknown function DUF218	dihydroxy-acid dehydratase	GCA_000164905.1_ASM16490v1	genomes/GCA_000164905.1_ASM16490v1/GCA_000164905.1_ASM16490v1_feature_table.txt
280	371	CCW36281.1	Chthonomonas calidirosea T49								+	-	-	-	-	-	-	CCW36284.1	CCW36283.1	CCW36282.1	CCW36281.1	CCW36280.1	CCW36279.1	CCW36278.1	Tetratricopeptide repeat./Aspartyl protease./TPR repeat	UDP-N-Acetylglucosamine 2-epimerase	hypothetical protein	Biopolymer transport proteins	outer membrane transport energization protein ExbD (TC 2.C.1.1.1)	outer membrane transport energization protein TonB (TC 2.C.1.1.1)	hypothetical protein	GCA_000427095.1_T49	genomes/GCA_000427095.1_T49/GCA_000427095.1_T49_feature_table.txt
281	372	AIE86461.1	Fimbriimonas ginsengisoli Gsoil 348	NA	NA	NA	NA	NA	NA	NA	-	-	-	+	+	+	+	AIE86458.1	AIE86459.1	AIE86460.1	AIE86461.1	AIE86462.1	AIE86463.1	AIE86464.1	putative rhamnulokinase	hypothetical protein	ankyrin repeat protein	MotA/TolQ/ExbB proton channel	Biopolymer transport protein ExbD/TolR	TonB family protein	TonB-dependent receptor	GCA_000724625.1_ASM72462v1	genomes/GCA_000724625.1_ASM72462v1/GCA_000724625.1_ASM72462v1_feature_table.txt
282	373	BCI63565.1	Coprobacter secundus subsp. similis	nadK		pdxJ					-	-	+	+	+	+	+	BCI63562.1	BCI63563.1	BCI63564.1	BCI63565.1	BCI63566.1	BCI63567.1	BCI63568.1	NAD kinase	hypothetical protein	pyridoxine 5'-phosphate synthase	biopolymer transporter ExbB	biopolymer transporter ExbD	cell envelope biogenesis protein TonB	N-acetyltransferase	GCA_015097275.1_ASM1509727v1	genomes/GCA_015097275.1_ASM1509727v1/GCA_015097275.1_ASM1509727v1_feature_table.txt
283	374	AKD04823.1	Pontibacter korlensis								-	-	-	-	-	-	-	AKD04826.1	AKD04825.1	AKD04824.1	AKD04823.1	AKD04822.1	AKD04821.1	AKD04820.1	hypothetical protein	hypothetical protein	sporulation protein	biopolymer transporter ExbB	transporter	hypothetical protein	dihydrofolate synthase	GCA_000973725.1_ASM97372v1	genomes/GCA_000973725.1_ASM97372v1/GCA_000973725.1_ASM97372v1_feature_table.txt
284	377	QAT17590.1	Candidatus Velamenicoccus archaeovorus								-	-	-	-	-	-	-	QAT18065.1	QAT17592.1	QAT17591.1	QAT17590.1	QAT17589.1	QAT17588.1		endonuclease IV	leucine--tRNA ligase	hypothetical protein	"ferric siderophore transport system, biopolymer transport protein ExbB"	biopolymer transport protein ExbD/TolR	competence protein	tRNA-Thr	GCA_004102945.1_ASM410294v1	genomes/GCA_004102945.1_ASM410294v1/GCA_004102945.1_ASM410294v1_feature_table.txt
285	380	ADB17134.1	Pirellula staleyi DSM 6068								-	+	+	+	+	+	-	ADB17131.1	ADB17132.1	ADB17133.1	ADB17134.1	ADB17135.1	ADB17136.1	ADB17137.1	hypothetical protein	protein of unknown function DUF1080	Tetratricopeptide domain protein	MotA/TolQ/ExbB proton channel	Biopolymer transport protein ExbD/TolR	hypothetical protein	Radical SAM domain protein	GCA_000025185.1_ASM2518v1	genomes/GCA_000025185.1_ASM2518v1/GCA_000025185.1_ASM2518v1_feature_table.txt
286	381	EKT86397.1	Leptospira santarosai serovar Shermani str. LT 821								-	-	+	+	+	+	+	EKT86395.1	AIT10921.1	EKT86396.2	EKT86397.1	EKT86398.1	EKT86400.1	EKT86401.1	hypothetical protein	hypothetical protein	DNA repair protein	biopolymer transporter ExbB	biopolymer transporter ExbD	ATPase AAA	hypothetical protein	GCA_000313175.2_ASM31317v2	genomes/GCA_000313175.2_ASM31317v2/GCA_000313175.2_ASM31317v2_feature_table.txt
287	383	AEM22241.1	Brachyspira intermedia PWS/A		argC						+	+	-	-	-	-	-	AEM22244.1	AEM22243.1	AEM22242.1	AEM22241.1	AEM22240.1	AEM22239.1	AEM22238.1	arginine biosynthesis bifunctional protein ArgJ	N-acetyl-gamma-glutamyl-phosphate reductase	hypothetical protein	biopolymer transport protein ExbB	"iron compound ABC transporter, periplasmic iron compound-binding protein"	ferric ion ABC transpoter	"iron compound ABC transporter, ATP-binding protein"	GCA_000223215.1_ASM22321v1	genomes/GCA_000223215.1_ASM22321v1/GCA_000223215.1_ASM22321v1_feature_table.txt
288	384	AQU99646.1	Desulfococcus multivorans								-	-	+	+	+	+	+	AQU99644.2	AQX36449.1	AQU99645.1	AQU99646.1	AQU99647.1	AQU99648.1	AQU99649.1	hypothetical protein	hypothetical protein	hypothetical protein	MotA	MotA	biopolymer transporter ExbD	hypothetical protein	GCA_002009335.2_ASM200933v2	genomes/GCA_002009335.2_ASM200933v2/GCA_002009335.2_ASM200933v2_feature_table.txt
